tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
4998,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1050 DR M L KING JR BOULEVARD, Bronx",10452,Bronx,-73.9301393,40.8347619,TEST-10452,
6202,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"208 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.08012193,40.64726,TEST-10301,Unknown
5920,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"59-010 QUEENS BOULEVARD, Woodside",11377,Queens,-73.90535532,40.74148615,TEST-11377,
3655,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"48-014 111 STREET, Corona",11368,Queens,-73.85299204,40.74640272,TEST-11368,Unknown
7531,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"39 7 AVENUE, Brooklyn",11217,Brooklyn,-73.97415493,40.67623875,TEST-11217,Unknown
886,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"538 WEST 53 STREET, New York",10019,Manhattan,-73.99224978,40.76738486,TEST-10019,
1365,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"20-002 FRANCIS LEWIS BOULEVARD, Whitestone",11357,Queens,-73.80266894,40.78035295,TEST-11357,Unknown
3605,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"114 VICTORY BOULEVARD, Staten Island",10301,Staten Island,-74.08031394,40.63737468,TEST-10301,
8809,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"47-011 164 STREET, Flushing",11358,Queens,-73.80292029,40.75004305,TEST-11358,Unknown
8841,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"49-017 164 STREET, Fresh Meadows",11365,Queens,-73.80275282,40.74853758,TEST-11365,Unknown
10524,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"16-007 UTOPIA PARKWAY, Whitestone",11357,Queens,-73.79465986,40.78366813,TEST-11357,Unknown
3070,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1980 UNIONPORT ROAD, Bronx",10462,Bronx,-73.86880511,40.85005824,TEST-10462,
6839,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"541 10 STREET, Brooklyn",11215,Brooklyn,-73.9819162,40.66626666,TEST-11215,
7146,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"511 WEST 186 STREET, New York",10033,Manhattan,-73.92951821,40.85158935,TEST-10033,Unknown
9687,2015,17.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1605 FULTON AVENUE, Bronx",10457,Bronx,-73.89678548,40.8384078,TEST-10457,
14242,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"143-014 11 AVENUE, Whitestone",11357,Queens,-73.8256846,40.78895924,TEST-11357,
14249,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"13-008 MALBA DRIVE, Whitestone",11357,Queens,-73.82474609,40.78814794,TEST-11357,Unknown
313,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1042 HALL PLACE, Bronx",10459,Bronx,-73.8977106,40.82470302,TEST-10459,
7620,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"704 METCALF AVENUE, Bronx",10473,Bronx,-73.87018191,40.81849263,TEST-10473,Unknown
3593,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"78 VICTORY BOULEVARD, Staten Island",10301,Staten Island,-74.07925077,40.63798649,TEST-10301,
5038,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"96 WEST 169 STREET, Bronx",10452,Bronx,-73.92344816,40.8396761,TEST-10452,Unknown
122,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"976 ROGERS PLACE, Bronx",10459,Bronx,-73.89775655,40.82328084,TEST-10459,
